"","date","nb_temp","base_temp","mot","ratio_temp"
"1","1631",1,1,"France",1
"2","1632",2,2,"France",1
"3","1633",1,2,"France",0.5
"4","1634",2,2,"France",1
"5","1635",1,1,"France",1
"6","1636",1,1,"France",1
"7","1637",0,0,"France",NA
"8","1638",0,0,"France",NA
"9","1639",0,0,"France",NA
"10","1640",1,1,"France",1
"11","1641",1,1,"France",1
"12","1642",2,3,"France",0.666666666666667
"13","1643",1,1,"France",1
"14","1644",88,156,"France",0.564102564102564
"15","1645",1,1,"France",1
"16","1646",3,3,"France",1
"17","1647",51,75,"France",0.68
"18","1648",2,2,"France",1
"19","1649",22,25,"France",0.88
"20","1650",2,3,"France",0.666666666666667
"21","1651",3,3,"France",1
"22","1652",4,5,"France",0.8
"23","1653",2,2,"France",1
"24","1654",47,91,"France",0.516483516483517
"25","1655",2,2,"France",1
"26","1656",49,89,"France",0.550561797752809
"27","1657",2,2,"France",1
"28","1658",2,2,"France",1
"29","1659",2,2,"France",1
"30","1660",1,1,"France",1
"31","1661",2,2,"France",1
"32","1662",29,75,"France",0.386666666666667
"33","1663",2,2,"France",1
"34","1664",2,2,"France",1
"35","1665",2,2,"France",1
"36","1666",3,4,"France",0.75
"37","1667",45,91,"France",0.494505494505495
"38","1668",6,6,"France",1
"39","1669",43,82,"France",0.524390243902439
"40","1670",1,2,"France",0.5
"41","1671",2,3,"France",0.666666666666667
"42","1672",39,85,"France",0.458823529411765
"43","1673",1,1,"France",1
"44","1674",39,63,"France",0.619047619047619
"45","1675",82,127,"France",0.645669291338583
"46","1676",91,116,"France",0.78448275862069
"47","1677",2,2,"France",1
"48","1678",8,8,"France",1
"49","1679",18,18,"France",1
"50","1680",17,17,"France",1
"51","1681",15,15,"France",1
"52","1682",13,13,"France",1
"53","1683",14,14,"France",1
"54","1684",13,13,"France",1
"55","1685",14,14,"France",1
"56","1686",15,16,"France",0.9375
"57","1687",15,15,"France",1
"58","1688",16,16,"France",1
"59","1689",71,75,"France",0.946666666666667
"60","1690",14,14,"France",1
"61","1691",15,15,"France",1
"62","1692",15,15,"France",1
"63","1693",14,14,"France",1
"64","1694",14,14,"France",1
"65","1695",54,67,"France",0.805970149253731
"66","1696",18,18,"France",1
"67","1697",179,208,"France",0.860576923076923
"68","1698",98,124,"France",0.790322580645161
"69","1699",23,23,"France",1
"70","1700",31,31,"France",1
"71","1701",30,31,"France",0.967741935483871
"72","1702",30,31,"France",0.967741935483871
"73","1703",27,28,"France",0.964285714285714
"74","1704",30,31,"France",0.967741935483871
"75","1705",28,28,"France",1
"76","1706",27,28,"France",0.964285714285714
"77","1707",19,20,"France",0.95
"78","1708",22,22,"France",1
"79","1709",105,121,"France",0.867768595041322
"80","1710",41,50,"France",0.82
"81","1711",100,121,"France",0.826446280991736
"82","1712",140,148,"France",0.945945945945946
"83","1713",51,58,"France",0.879310344827586
"84","1714",98,113,"France",0.867256637168142
"85","1715",104,116,"France",0.896551724137931
"86","1716",103,120,"France",0.858333333333333
"87","1717",112,139,"France",0.805755395683453
"88","1718",118,139,"France",0.848920863309353
"89","1719",96,138,"France",0.695652173913043
"90","1720",99,137,"France",0.722627737226277
"91","1721",118,194,"France",0.608247422680412
"92","1722",112,180,"France",0.622222222222222
"93","1723",76,139,"France",0.546762589928058
"94","1724",84,126,"France",0.666666666666667
"95","1725",53,55,"France",0.963636363636364
"96","1726",39,40,"France",0.975
"97","1727",32,32,"France",1
"98","1728",37,37,"France",1
"99","1729",31,31,"France",1
"100","1730",29,29,"France",1
"101","1731",32,32,"France",1
"102","1732",31,31,"France",1
"103","1733",36,37,"France",0.972972972972973
"104","1734",46,75,"France",0.613333333333333
"105","1735",128,180,"France",0.711111111111111
"106","1736",76,115,"France",0.660869565217391
"107","1737",104,163,"France",0.638036809815951
"108","1738",113,158,"France",0.715189873417722
"109","1739",126,166,"France",0.759036144578313
"110","1740",95,130,"France",0.730769230769231
"111","1741",143,203,"France",0.704433497536946
"112","1742",101,144,"France",0.701388888888889
"113","1743",93,126,"France",0.738095238095238
"114","1744",116,136,"France",0.852941176470588
"115","1745",55,72,"France",0.763888888888889
"116","1746",127,181,"France",0.701657458563536
"117","1747",186,237,"France",0.784810126582278
"118","1748",147,188,"France",0.781914893617021
"119","1749",155,179,"France",0.865921787709497
"120","1750",115,137,"France",0.839416058394161
"121","1751",32,32,"France",1
"122","1752",219,224,"France",0.977678571428571
"123","1753",134,144,"France",0.930555555555556
"124","1754",93,103,"France",0.902912621359223
"125","1755",62,62,"France",1
"126","1756",68,68,"France",1
"127","1757",122,173,"France",0.705202312138728
"128","1758",61,61,"France",1
"129","1759",49,51,"France",0.96078431372549
"130","1760",169,183,"France",0.923497267759563
"131","1761",137,153,"France",0.895424836601307
"132","1762",200,212,"France",0.943396226415094
"133","1763",334,437,"France",0.764302059496567
"134","1764",306,339,"France",0.902654867256637
"135","1765",357,393,"France",0.908396946564885
"136","1766",345,364,"France",0.947802197802198
"137","1767",340,351,"France",0.968660968660969
"138","1768",297,350,"France",0.848571428571429
"139","1769",318,351,"France",0.905982905982906
"140","1770",362,408,"France",0.887254901960784
"141","1771",334,412,"France",0.810679611650485
"142","1772",222,303,"France",0.732673267326733
"143","1773",372,491,"France",0.757637474541752
"144","1774",503,660,"France",0.762121212121212
"145","1775",467,631,"France",0.740095087163233
"146","1776",344,480,"France",0.716666666666667
"147","1777",644,891,"France",0.722783389450056
"148","1778",702,904,"France",0.776548672566372
"149","1779",738,943,"France",0.782608695652174
"150","1780",671,830,"France",0.808433734939759
"151","1781",708,870,"France",0.813793103448276
"152","1782",494,649,"France",0.761171032357473
"153","1783",670,803,"France",0.834371108343711
"154","1784",460,582,"France",0.790378006872852
"155","1785",461,612,"France",0.753267973856209
"156","1786",470,635,"France",0.740157480314961
"157","1787",538,673,"France",0.799405646359584
"158","1788",630,797,"France",0.790464240903388
"159","1789",1837,2435,"France",0.75441478439425
"160","1790",3519,4423,"France",0.795613836762379
"161","1791",5105,6036,"France",0.845758780649437
"162","1792",4303,4691,"France",0.917288424642933
"163","1793",3709,4200,"France",0.883095238095238
"164","1794",2873,3703,"France",0.775857412908453
"165","1795",2030,2577,"France",0.787737679472255
"166","1796",2807,3544,"France",0.792042889390519
"167","1797",3293,3993,"France",0.824693213122965
"168","1798",2651,3075,"France",0.862113821138211
"169","1799",2389,2766,"France",0.863702096890817
"170","1800",1941,2187,"France",0.887517146776406
"171","1801",1811,1958,"France",0.924923391215526
"172","1802",2349,2700,"France",0.87
"173","1803",2022,2389,"France",0.846379238174969
"174","1804",2206,2597,"France",0.849441663457836
"175","1805",1908,2288,"France",0.833916083916084
"176","1806",1961,2330,"France",0.841630901287554
"177","1807",2034,2419,"France",0.840843323687474
"178","1808",1790,2157,"France",0.829856281872972
"179","1809",1981,2451,"France",0.808241534067727
"180","1810",1758,2159,"France",0.814265863825845
"181","1811",1762,2198,"France",0.801637852593267
"182","1812",1644,2127,"France",0.772919605077574
"183","1813",1688,2218,"France",0.761045987376014
"184","1814",2206,2564,"France",0.860374414976599
"185","1815",2608,2637,"France",0.989002654531665
"186","1816",2718,3061,"France",0.887945115975172
"187","1817",2676,3036,"France",0.881422924901186
"188","1818",2709,3100,"France",0.873870967741936
"189","1819",3238,3659,"France",0.884941240776168
"190","1820",3520,3900,"France",0.902564102564103
"191","1821",4025,4385,"France",0.917901938426454
"192","1822",4634,4931,"France",0.939768809572095
"193","1823",4557,4812,"France",0.947007481296758
"194","1824",4237,4553,"France",0.930595211948166
"195","1825",4258,4409,"France",0.965751871172602
"196","1826",5136,5455,"France",0.941521539871677
"197","1827",4269,4675,"France",0.913155080213904
"198","1828",5146,5585,"France",0.921396598030439
"199","1829",5843,6273,"France",0.931452255699028
"200","1830",6044,6382,"France",0.947038545910373
"201","1831",5325,5595,"France",0.951742627345844
"202","1832",5296,5524,"France",0.958725561187545
"203","1833",6361,6716,"France",0.947141155449672
"204","1834",6260,6596,"France",0.949060036385688
"205","1835",6546,6974,"France",0.938629194149699
"206","1836",7188,7563,"France",0.950416501388338
"207","1837",8044,8415,"France",0.955912061794415
"208","1838",7139,7890,"France",0.904816223067174
"209","1839",6689,7360,"France",0.90883152173913
"210","1840",6614,7066,"France",0.936031701103878
"211","1841",7249,7671,"France",0.944987615695477
"212","1842",7103,7450,"France",0.953422818791946
"213","1843",7304,7640,"France",0.956020942408377
"214","1844",7747,8213,"France",0.943260684281018
"215","1845",8399,8859,"France",0.948075403544418
"216","1846",8306,8658,"France",0.959343959343959
"217","1847",7516,7836,"France",0.959162838182746
"218","1848",8934,9167,"France",0.974582742445729
"219","1849",10592,10876,"France",0.973887458624494
"220","1850",11889,12247,"France",0.970768351433004
"221","1851",11206,11525,"France",0.97232104121475
"222","1852",9396,9611,"France",0.97762979918843
"223","1853",8125,8462,"France",0.960174899550934
"224","1854",7850,8093,"France",0.969974051649574
"225","1855",7437,7642,"France",0.97317456163308
"226","1856",8114,8383,"France",0.967911248956221
"227","1857",8671,8981,"France",0.965482685669747
"228","1858",8063,8335,"France",0.967366526694661
"229","1859",8451,8635,"France",0.978691372321946
"230","1860",9190,9519,"France",0.96543754596071
"231","1861",9391,9644,"France",0.973766072169224
"232","1862",8890,9384,"France",0.947357203751066
"233","1863",10392,10984,"France",0.946103423160961
"234","1864",10019,10628,"France",0.942698532179149
"235","1865",11036,11545,"France",0.955911650064963
"236","1866",10817,11321,"France",0.955480964579101
"237","1867",11038,11511,"France",0.958908869776735
"238","1868",12732,13267,"France",0.959674380040702
"239","1869",15253,15841,"France",0.962881131241714
"240","1870",16141,16484,"France",0.979191943702985
"241","1871",15211,15615,"France",0.9741274415626
"242","1872",18050,18875,"France",0.956291390728477
"243","1873",19468,19951,"France",0.9757906871836
"244","1874",19801,20418,"France",0.969781565285532
"245","1875",20742,21763,"France",0.953085512107706
"246","1876",22158,22950,"France",0.965490196078431
"247","1877",22912,23629,"France",0.969655931270896
"248","1878",23726,24325,"France",0.975375128468654
"249","1879",24783,25477,"France",0.972759744082898
"250","1880",26946,27694,"France",0.972990539467033
"251","1881",28673,29372,"France",0.976201824867221
"252","1882",32579,33498,"France",0.972565526300078
"253","1883",31697,32986,"France",0.960922815740011
"254","1884",32117,33368,"France",0.962508990649724
"255","1885",32672,33947,"France",0.962441452852977
"256","1886",33582,34705,"France",0.967641550208904
"257","1887",34576,35743,"France",0.96735025039868
"258","1888",36209,37370,"France",0.968932298635269
"259","1889",38991,40118,"France",0.971907871778254
"260","1890",38885,40110,"France",0.969458987783595
"261","1891",39296,40542,"France",0.969266439741503
"262","1892",40384,41555,"France",0.971820478883408
"263","1893",41654,42775,"France",0.973793103448276
"264","1894",42601,43812,"France",0.972359171003378
"265","1895",42772,44149,"France",0.968810165575664
"266","1896",42751,43931,"France",0.973139696341991
"267","1897",41955,43382,"France",0.967106173067171
"268","1898",42288,43811,"France",0.965237040925795
"269","1899",42498,43472,"France",0.977594773647405
"270","1900",42942,44131,"France",0.973057487933652
"271","1901",42841,44151,"France",0.970329097868678
"272","1902",43206,44882,"France",0.962657635577737
"273","1903",44028,45718,"France",0.963034253466906
"274","1904",43782,45581,"France",0.960531800530923
"275","1905",42524,44089,"France",0.964503617682415
"276","1906",42858,44287,"France",0.96773319484273
"277","1907",42566,43616,"France",0.975926265590609
"278","1908",41524,42841,"France",0.969258420671786
"279","1909",39620,40900,"France",0.968704156479218
"280","1910",39787,41570,"France",0.957108491700746
"281","1911",40461,42052,"France",0.962165889850661
"282","1912",41098,42807,"France",0.960076622982223
"283","1913",42860,44477,"France",0.963644130674281
"284","1914",37493,39510,"France",0.948949633004303
"285","1915",31299,33107,"France",0.945389192617875
"286","1916",34646,36770,"France",0.942235518085396
"287","1917",35150,37207,"France",0.944714704222324
"288","1918",34505,36356,"France",0.949086808229728
"289","1919",38165,40574,"France",0.940627002513925
"290","1920",37287,38634,"France",0.965134337630067
"291","1921",38612,40303,"France",0.958042825596109
"292","1922",38029,39633,"France",0.959528675598617
"293","1923",39888,41639,"France",0.957948077523476
"294","1924",39495,41102,"France",0.960902145880979
"295","1925",39170,41078,"France",0.95355177954136
"296","1926",38685,40258,"France",0.960927020716379
"297","1927",38336,39968,"France",0.959167333867094
"298","1928",38527,40195,"France",0.958502301281254
"299","1929",37418,39159,"France",0.95554023340739
"300","1930",37274,38936,"France",0.957314567495377
"301","1931",37275,39190,"France",0.951135493748405
"302","1932",36387,37707,"France",0.964993237329939
"303","1933",35918,37248,"France",0.964293384879725
"304","1934",37190,38287,"France",0.971347977120171
"305","1935",36108,37103,"France",0.973182761501765
"306","1936",36025,36872,"France",0.977028639618138
"307","1937",33849,34648,"France",0.976939505887786
"308","1938",31679,32494,"France",0.974918446482428
"309","1939",26641,27353,"France",0.973969948451724
"310","1940",18078,18596,"France",0.972144547214455
"311","1941",16953,17484,"France",0.969629375428964
"312","1942",15723,16067,"France",0.978589655816269
"313","1943",14999,15521,"France",0.966368146382321
"314","1944",12460,13137,"France",0.948466164268859
"315","1945",7129,7484,"France",0.952565473009086
"316","1946",7812,8096,"France",0.964920948616601
"317","1947",7762,8027,"France",0.9669864208297
"318","1948",7326,7578,"France",0.966745843230404
"319","1949",6764,6975,"France",0.969749103942652
"320","1950",5929,6110,"France",0.97037643207856
"321","1951",3268,3403,"France",0.960329121363503
"322","1952",2900,2981,"France",0.972827910097283
"323","1953",2439,2458,"France",0.99227013832384
"324","1954",2659,2702,"France",0.984085862324204
"325","1955",2619,2671,"France",0.980531636091352
"326","1956",2389,2421,"France",0.986782321354812
"327","1957",2340,2368,"France",0.988175675675676
"328","1958",2431,2487,"France",0.977482911137917
"329","1959",1935,2005,"France",0.965087281795511
"330","1960",1549,1614,"France",0.959727385377943
"331","1961",1311,1371,"France",0.956236323851203
"332","1962",1460,1571,"France",0.929344366645449
"333","1963",1289,1379,"France",0.934735315445975
"334","1964",1292,1379,"France",0.936910804931109
"335","1965",1312,1411,"France",0.929836995038979
"336","1966",1384,1456,"France",0.950549450549451
"337","1967",1168,1215,"France",0.961316872427984
"338","1968",1273,1353,"France",0.940872135994087
"339","1969",1333,1391,"France",0.958303378864127
"340","1970",993,1007,"France",0.98609731876862
"341","1971",876,889,"France",0.985376827896513
"342","1972",923,948,"France",0.973628691983122
"343","1973",822,842,"France",0.97624703087886
"344","1974",788,811,"France",0.971639950678175
"345","1975",859,885,"France",0.970621468926554
"346","1976",801,837,"France",0.956989247311828
"347","1977",837,862,"France",0.970997679814385
"348","1978",821,849,"France",0.967020023557126
"349","1979",868,883,"France",0.983012457531144
"350","1980",866,883,"France",0.98074745186863
"351","1981",858,864,"France",0.993055555555556
"352","1982",830,844,"France",0.983412322274882
"353","1983",811,816,"France",0.993872549019608
"354","1984",780,791,"France",0.986093552465234
"355","1985",740,747,"France",0.990629183400268
"356","1986",811,821,"France",0.987819732034105
"357","1987",834,861,"France",0.968641114982578
"358","1988",828,835,"France",0.991616766467066
"359","1989",845,853,"France",0.990621336459555
"360","1990",819,1004,"France",0.815737051792829
"361","1991",803,820,"France",0.979268292682927
"362","1992",791,803,"France",0.98505603985056
"363","1993",819,837,"France",0.978494623655914
"364","1994",820,834,"France",0.983213429256595
"365","1995",896,926,"France",0.967602591792657
"366","1996",870,888,"France",0.97972972972973
"367","1997",749,759,"France",0.986824769433465
"368","1998",731,743,"France",0.983849259757739
"369","1999",625,637,"France",0.98116169544741
"370","2000",621,636,"France",0.976415094339623
"371","2001",537,551,"France",0.97459165154265
"372","2002",497,506,"France",0.982213438735178
"373","2003",475,480,"France",0.989583333333333
"374","2004",458,467,"France",0.980728051391863
"375","2005",386,393,"France",0.982188295165394
"376","2006",356,359,"France",0.991643454038997
"377","2007",335,342,"France",0.97953216374269
"378","2008",305,311,"France",0.980707395498392
"379","2009",280,286,"France",0.979020979020979
"380","2010",191,196,"France",0.974489795918367
"381","2011",181,187,"France",0.967914438502674
"382","2012",174,178,"France",0.97752808988764
"383","2013",135,142,"France",0.950704225352113
"384","2014",108,116,"France",0.931034482758621
"385","2015",95,105,"France",0.904761904761905
"386","2016",60,71,"France",0.845070422535211
"387","2017",43,54,"France",0.796296296296296
"388","2018",37,39,"France",0.948717948717949
"389","2019",6,7,"France",0.857142857142857
"390","2020",0,0,"France",NA
"391","2021",0,0,"France",NA
